Proverb,Translation,Wisdom/Explanation,Specific Themes,General Theme
Akìí fi ogun dán ẹṣọ́ wò,One does not tease a warrior by saying there is a war [or an invasion].,Do not play with a loaded and primed gun.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi ohun sọwọ́ búra,One does not hide something in one’s hand and yet swear [that one knows nothing about it].,It is foolish to tempt fate; the dishonest person exposes himself or herself to the possibility of discovery.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi ohun-olóhun tọrẹ bí kò ṣe tẹni,One does not make a gift of property that is not one’s own.,Never be too free with other people’s property.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi oko sin fún ìwòfà,One does not hide the farm from the pawned worker.,It does not make sense to prevent a servant one has hired from doing what one hired him to do.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi olórí ogun ṣe ìfagun,One does not position the commander of the army at the rear of the column.,The best foot is the one to put forward.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi oníjà sílẹ̀ ká gbájúmọ́ alápẹpẹ,One does not leave the person one has a quarrel with and face his lackey.,"Focus rather on your main problem, not a sideshow.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi owó du oyè-ẹ alágbára,One does not rely on money to contest a chieftaincy reserved for the strong.,Money won’t buy everything.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi ọlá jẹ iyọ̀,One does not consume salt according to one’s greatness.,Too much of a good thing can be dangerous.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi ọ̀nà ikùn han ọ̀fùn,One does not show the throat the way to the stomach.,Do not presume to know better than the expert.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi ọ̀nà odò han ikún,One does not show the squirrel the way to the river.,Telling someone what he or she already knows is silly.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí fi ọ̀rọ̀ sílẹ̀ gbọ́rọ̀,One does not ignore one matter to attend to another matter.,Every obligation deserves attention.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbá ẹni tó yọbẹ mú,One does not grab hold of a person who has pulled a knife.,Prudence and caution are imperative in dealing with dangerous people.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbẹ́ àwòràn gàgàrà ká má fi ọwọ́ rẹ̀ tin nkan,One does not carve a tall statue without resting its hand on something.,Everybody needs some support.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbé ẹran erin lé rí ká máa fẹsẹ̀ wa ihò ìrẹ̀,One does not carry elephant meat on one’s head and dig cricket holes with one’s big toe.,"If one is blessed with plenty, one should not keep chasing after trifles.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbé odò jiyàn-an ọṣẹ́ hó tàbí kò hó,One does not sit by a river and argue whether the soap will foam or will not foam.,"Where the claim can be put to the test, verbal argument is foolish.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbé ọ̀pọlọ́ sọnù ká tún bẹ̀rè-e jàǹto,One does not throw a toad away and inquire after its young.,Commiseration after injury is hypocritical.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbójú-u fí fò lé adìẹ àgàgà; akìí gbójú-u yíyan lé alágẹmọ,One should not expect flight from the flightless chicken; one should not expect striding from a chameleon.,To expect the impossible is to delude oneself.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí gbọ́ ẹjọ́ ẹnì kan dájọ́,One does not deliver a verdict after hearing only one side.,Justice requires impartiality and a full hearing.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí jẹ ‘‘Mo fẹ̀rẹ̀-ẹ́’’ lọ́bẹ̀,One does not eat ‘‘I almost’’ in a stew.,"What one missed narrowly, one cannot enjoy at all.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ka igún mọ́ ẹran jíjẹ,One does not list vultures among edible meats.,Certain things one does not stoop to do.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ka ilé òrìṣà kún ìlú,One does not count a god’s grove as part of the town.,Do not list questionable items as part of your wealth.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ka oyún inú kún ọmọ ilé,One does not count a fetus among living children.,Never count your chickens before they are hatched.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ka ọmọ fún òbí,One does not enumerate children for the parents.,Do not presume to know better than those most intimately involved.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí kọ ọmọ-ọbí ká sọ ọ́ ní Èwo ló dé?,One does not so resent having a child that one names it What-is-this-that-has-happened?,Childbirth is always a happy event.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí lékù méjì ká má pòfo,One does not chase two rats and avoid coming up with nothing.,Never try to go in two directions at once.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí lọmọ lẹ́hìn kọ oúnjẹ,One does not have children at one’s rear and yet refuse food.,No amount of anger or distress should keep one from looking after one’s dependents.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí mọ ọkọ ọmọ ká tún mọ àlè-erẹ̀,One does not acknowledge the husband for one’s child and also acknowledge her illicit lover.,Never betray trust or connive at betraying it.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí mú ìbọn tetere,One does not hold a gun carelessly.,Always be careful in handling dangerous matters.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí mú oko mú ẹjọ́ kí ọ̀kan má yẹ́,One does not opt to work on the farm and also opt to go argue one’s case and avoid neglecting one or the other.,One cannot do two mind-absorbing tasks at once.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí mú ọmọ oǹdòpò dè,One does not chain the child of a person who offers to allow a low price for one’s wares.,It is not a crime to make an offer that might be unacceptable.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí mú ọmọ òṣì lọ sí Ìlọ́rìn,One does not take a child destined for poverty to Ìlọ́rìn.,A person cannot transcend his or her destiny.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí múlé mọ́ oko kọ́kan má yẹ́,One does not devote oneself to the home and devote oneself to the farm and not wind up neglecting one of them.,One cannot go in two opposite directions at once.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ní ẹgbàá nílé wá ẹgbàá òde,"One does not have 1,000 cowries (or six pence) at home and go chasing abroad for 1,000 cowries.",Only the promise of a greater fortune should tempt one to neglect what one already has.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Akìí pa asínwín ilé, nítorí ọjọ́ tí tòde yó bà á wá sílé","One does not kill the imbecile within one’s home, because of the day when the one from outside might visit.",One should cultivate one’s own madness; one might need it to combat others’ madness.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Akìí pa igún, akìí jẹ igún, akìí fi igún bọrí",One does not kill the vulture; one does not eat the vulture; one does not offer the vulture as a sacrifice to one’s head.,Certain behaviors are beyond the pale.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí pékí òṣìkà ṣeéká wò ó,One does not dare a wicked person to do his worst.,Never tempt evil people to do their evil.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí pe ni olè ká máa gbé ọmọ ẹran jó,One does not suffer the reputation of being a thief and yet go seeking to dance with kids [baby goats].,It is foolish to behave in ways that will confirm people’s evil opinion of one.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí rán ọlẹ wo ojú ọjọ́ àárọ̀,One does not send a shirker to go see what the morning looks like outside.,Never rely on the advice of people who have a vested interest in the matter being considered.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí re ni sún lọ dà sí bú,One does not collect water from a spring to dump in the deep.,Do not rob the poor to further enrich the wealthy.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí rí adìẹ nílẹ̀ ká da àgbàdo fún ajá,One does not see chickens about and throw one’s corn to the dog.,Always direct help where it will be appreciated and where it will do some good.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí rí àjẹkù orò,No one ever sees the leavings of the god Orò.,What must be consumed must be completely consumed.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ríbàtá nílẹ̀ ká fẹnu sínin jẹ,One does not see a bàtá drum on the ground and use one’s mouth to mimic its sound.,Too much talk about a problem is useless when a practical solution has presented itself. One should not make a person’s case for him or her when that person is present.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí rí ewé nílẹ̀ ká fọwọ́ fá mí,One does not see leaves lying about and scoop up feces with one’s bare hand.,Take advantage of whatever aids are available to you.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí rí ẹni ran ni lérù ká yọ ké,One does not find helpers willing to help with one’s load and yet sprout a hump on one’s back [from carrying too heavy a load].,Always avail yourself of offered help.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí rí ojú ẹkùn ká tọ́ ẹkùn,One does not see the look on a leopard’s face and then taunt the leopard.,It is foolish to invite disaster needlessly on one’s own head.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí sá fún àjíà kádìgbò lueégún,One does not run from the herald of the masquerader and collide with the masquerader himself.,Never court a greater disaster in an attempt to avert a minor one.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí sin àlè kọjá odò; ohun tí ńṣe ọṣẹ́ ò tó nkan,One does not walk one’s secret lover across a river; the causes of huge disasters are usually insignificant in themselves.,"If one is engaged in a dangerous venture, one should not also cast discretion to the wind.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí sọ pé abẹ́ Òyọ́ mú; nígbà náà ni yó sọ pé bẹ́ẹ̀ ni òun ò tíì pọ́n,"One does not tell an Òyọ́ person that his knife is sharp, for only then will he say he has not even honed it yet.",Offer no braggart any opportunity to resume his bragging.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí sọrọ̀ ìkọ̀kọ̀ lójú olófòófó,One does not discuss secret matters in the presence of a tattler.,Be careful with your secrets.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí sùn jẹrí ìdí,One cannot be asleep and also be able to vouch for one’s anus.,Assert only those things you know for certain.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ṣe fáàárí ẹ̀ṣẹ̀ dídì sọ́mọ adẹtẹ̀,One does not flaunt one’s ability to make a fist in the face of a leper’s child.,Never make fun of people because of their affliction.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ṣe fáàárí ìtọ́ dídà sọ́mọ a-kú-wárápá,One does not drool in jest in the presence of the child of an epileptic.,Never make fun of afflicted people by mimicking their affliction.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ṣe oore tán ká lọ́ṣòótìí,One does not do a favor and then camp by it.,"Having done some good, do not hang around to compel gratitude.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ṣòwò méjì kẹ̀ran má jẹ́ ọ̀kan,One does not engage in two trades without having one consumed by goats.,One cannot effectively manage two enterprises at once.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ti ojú ogun wẹ̀fọ̀n,One does not wait until the heat of the battle to start looking for palm-leaf midrib.,Always make your preparations well ahead of the event.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí ti ojú oní-ka-mẹ́sàn-án ká á,One does not count the fingers of a person who has only nine in his or her presence.,One must be discreet in speaking about other people’s flaws and deformities.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Akìí tìjú bá báálé ilé jẹ akátá; bó bá mú, ìwọn náà a mú tiẹ̀","One should not be too embarrassed to eat a jackal with one’s host; as he helps himself, one also helps oneself.",Never be too bashful to adopt the ways of the people among whom you find yourself.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí wá aláṣọ-àlà ní sọlẹ́ pọ́n,One should not look for a white-clad person in the stall of palm-oil sellers.,One should know the likely places to look for whatever one seeks.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí wà nínú ìṣẹ́ ká perín tọrẹ,One does not wallow in poverty and yet kill an elephant for public distribution.,Always live according to your circumstances.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí wí jọ́ ọwí wò ká jàre,One does not complain about being looked at and be vindicated.,One should not complain that other people are doing what one is also doing.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Akìí yin ọmọdé lójú ara ẹ̀; ìfàsẹ́hìn ní ńkángun ẹ̀,One does not praise a child in his presence; only backsliding results.,Children should not be praised too highly; they should always be made aware that they can be even better.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Akúnlẹ̀ apàgbò, alubàtá ní ‘‘ojú ò fẹ̀rẹ̀kù’’; o fẹ̀ẹ́ bá wọn ṣúpó ni?","We kneel and sacrifice a ram, and the bàtá drummer shows reluctance to take his leave; does he wish to inherit a wife?",One should always know when to take one’s leave.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Alétẹ̀mbẹ̀lẹ̀ kún jìnà bí ẹni pé kó bọ́jù sígbó,"One chases conspiracy away, as though one would have it disappear into the bush.",No one should want anything to do with conspiracy.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńfọ́ tún tẹ́ ni, àńfòsì tú ṣòkòtò, obìnrin ní akò bá òun gbọ́ tọmọ",One spreads a mat with the right hand while removing one’s pants with the left hand; yet the woman complains that one is not helping her quest for a child.,Some people are incapable of recognizing and acknowledging favors.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńgba òròmọ adìẹ lọ́wọ́ ikú, ó ní wọn ò jẹ́ kí òun jẹ láàtàn","One struggles to save the chick from certain death, and it complains that one is preventing it from foraging at the dump.",Chicks foraging at the dump are easy prey for kites.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńgbèjà Òjàá, Òjà nítaní ńjà lẹ́hìn kùlé òun?","We fight in defense of Òjà, and Òjà asks who is fighting in his back yard.",Some people do not acknowledge or appreciate favors.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Aní ìrókò ni yó pa ọmọdé, ó bojú-wẹ̀hìn; òòjọ́ ni ńjà?","One curses a child that ìrókò will kill him, and he glances to his rear; does the curse take effect immediately?",The child obviously does not know that the fact that he does not die immediately in no way invalidates the curse.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Aní kí olókùnrùn ṣe tó, ó ní òun ò lè ṣe tó, tò, tó","The invalid is asked to say, ‘‘Tó,’’ and he complains that he cannot keep saying, ‘‘Tó, tò, tó.’’",He has expended more effort in his refusal than he would have in complying.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Aníkọ́mọ má kùú, o ní kò jọ bàbá kò jọ ìyá","We strive to keep a child from dying, and you say he resembles neither the father nor the mother.",The person addressed has his or her priorities reversed.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
‘‘Àńjù wọ́n’’ òṣéé wí lẹ́jọ́; ìjà ìlara ò tán bọ̀rọ̀,‘‘We are driven by envy of them’’ is a bad case to make; a quarrel spawned by jealousy is not easy to settle.,Quarrels whose causes cannot be openly admitted will not readily end.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńkìí, àńsàá, ó ní òun ò mọ ẹni tó kú; aní, ‘‘Alákàá ẹgbàá, a-biṣu-wọ̀rọ̀-wọ̀rọ̀-lóko, a-bàgbàdo-tàkì-tàkì-lẹ́gàn’’; ó ní, ‘‘Ọlọ́dẹ ló kú, tàbíì nájà?","We recite someone’s praise names, we intone his attributes, and a person says he does not know who died; we say, ‘‘He of the two hundred granaries, he whose yams are plentiful on the farm, he whose corn is abundant in the fields,’’ and the person asks, ‘‘Is the dead person a hunter or a trader?","A person for whom everything must be spelled out, a person who cannot make deductions from the most obvious hints, is daft indeed.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńkìí, àńsàá, ó ní òun ò mọ ẹni tó kú; ó ńgbọ́, ‘‘Ikú mẹ́rù, Òpàgá, a-biṣu-ú-ta-bí-òdòdó, a-lábà-ọkà, a-roko-fọyẹ-jẹ’’; ó ní, ‘‘Àgbẹ̀ ló kú, tàbí ọ́nàjà?","We recite someone’s praise names, we intone his attributes, and a person says he does not know who died; he hears, ‘‘Death takes a renowned man, a titled man, whose yams spread like petals, who possesses barns of corn, whose fields are a bounty for birds,’’ and he asks, ‘‘Is the dead man a farmer or a trader?",This is a variant of the preceding entry.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńsọ̀rọ̀ elégédé, obìnrin ḿbèrè ohun tí à ńsọ, aní ọ̀rọ̀ ọkùnrin ni; bí abá kó elégédé jọ, tani yó sẹ̀ é?","We are discussing pumpkins; a woman asks what we are discussing, and we respond that it is men’s talk; after we have gathered the pumpkins, who will cook them?","The woman, certainly. There is no point in excluding her from a matter that will eventually involve her anyway.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àńsọ̀rọ̀ obìnrin, a ní ká sọ bàrà ká lọ gbin bàrà sódò; tani máa bá ni pa á?","We speak of women, and someone suggests that we hedge our words and go plant watermelon by the stream; who will help in harvesting it?",This is a variant of the preceding entry.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Arí ilójú, a mọ̀lọ́nu; òṣòwò ọṣẹ́ kìí pọn-wọ́-lá","One can tell by looking, and one can tell by taste; a soap seller does not lick her fingers.","Soap is recognizable as soap, and anyone who has ever tasted it knows that one does not lick fingers caked with soap. Each trade has its don’ts.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Atabàbà, afowó-obàbà ra baba","We sell guinea corn, and with the copper coins we redeem the old man.",With what one has one seeks one’s goals.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Atabàbà afowó-obàbà ra bàbà,"We sell guinea corn, and with the guinea-corn money we buy guinea corn.","This variant of the previous entry suggests that for all one’s efforts and exertions, one has not significantly altered one’s circumstances.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Ààrẹ ńpè ọ́ ò ńdÍfá; bí Ífá bá fọ ọrẹ tí Ààrẹ fọ bí ńkọ?,"The Ààrẹ summons you and you consult the oracle; what if the oracle says all will be well, and the Ààrẹ decrees otherwise?",There is no point in attempting to restrict the action of an absolute authority.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àáyá bọ́ sílẹ̀, ó bọ́ sílé",The colobus monkey jumps to the ground; it runs for home.,"When danger lurks, the wisest course is to run for safety.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àáyá gbọ́n, Ògúngbẹ́-ẹ́ sì gbọ́n; bí Ògúngbẹ́-ẹ́ tiḿ bẹ́rẹ̀ ni àáyá ńti ro","The colobus monkey is wily, but so is Ogungbẹ; as Ogungbẹ crouches, so the monkey tiptoes.",The prey that knows its stalker’s tricks is safe.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àbá alágẹmọ lòrìṣà ńgbà,The gods heed what chameleon proposes.,One should heed the advice of trusted friends and advisers.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àbá kìí di òtítọ́; ojó ni kìí jẹ́ ká dá a,Plans do not automatically bear fruit; only the fainthearted do not make plans.,"Although plans may never bear fruit, people should still make them.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àbá ní ńdi òtítọ́; ojó ni kìí jẹ́ ká dá,Attempts result in achievement; it is faintheartedness that keeps one from making an effort.,"Without striving, one accomplishes nothing.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àbàtì àlàpà: abàátì, abáarẹ̀","Unfinished, abandoned wall: unable to master it, one befriends it.",One reconciles oneself to matters one cannot control.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
A-bayé-jẹ́ kòṣééfìdí ọ̀ràn hàn,A treacherous person is not someone to tell profound matters to.,One should keep one’s secrets from treacherous people.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Abẹ́rẹ́ òṣéégún yán,A needle cannot be used to make pounded yams.,Some tools are inadequate for some tasks.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Abẹ́rẹ́ tó wọ́nú òkun òṣéé wá,A needle that drops into the ocean defies finding.,Some tasks are hopelessly impossible to accomplish.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Abiyamọ, kàgbọ̀ wàrà; ọjọ́ ńlọ","Nursing mother, make the herbal decoction in good time; the day is waning.",Attend to duties on time.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Abiyamọ kìí rìn kó ṣánwọ́ ahá,A nursing mother does not venture away from home without a cup.,She must be prepared to feed the baby.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Abiyamọ purọ́mọ̀-ọ̀rẹ̀ jẹun,The nursing mother lies against her child to secure food.,One uses every ruse available in the interest of one’s well-being.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Abiyamọ ṣọwọ́ kòtòlu ọmọ-ọ̀rẹ̀,A nursing mother cups her palm to strike her child.,Discretion is the better part of discipline.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àbọ́ṣẹ́ kìí ṣe iṣẹ́ òòjọ́; iṣẹ́-ẹ baba ẹni ní ńgbanilójú gan-an,Spare-time work is no profession; it is an assignment from one’s father that takes all of one’s day.,One does not waste one’s time on trifles or hobbies.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àbùkún laiyé gbà,The world accepts only adding on.,Supplement rather than deplete.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Adánilóró fagbára kọni,He who disappoints teaches one to be more resourceful.,"Once disappointed or injured, one learns to be self-reliant.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Adẹtẹ̀ ò gbọdọ̀ dúró de eléépín,A leper must not wait for a bearer of abrasive leaves [eépín].,Know your weaknesses.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Adẹtẹ̀-ẹ́ ní òún ṣọ̀ràn kande àwọn ará ilé òun; ó ní bí òún bá lọ sí dàálẹ̀, wọn ò jẹ́ fi kàn-ìn-kàn-ìn òun wẹ̀","The leper says that he trusts his relatives on a certain matter; he says when he goes on a journey, they would not dare use his sponge to wash themselves.",People have a knack for skirting dangerous or distasteful situations.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Adìẹ ìrànà ní ńṣíwájú òkú,It is the votive herald-chicken that precedes a dead person.,Matters must be attended to in their proper sequence.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Adìẹ ò lè ti ìwòyí sunkún ehín,A chicken cannot at this late date bemoan its lack of teeth.,Everything at its proper time.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Adìẹ ò lórúnkún ẹjọ́,A chicken has no knees for cases.,One should steer clear of actionable behavior.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Adìẹ rí aláásáà, ó pa ìyẹ́ mọ́",The chicken sees the snuff seller and enfolds its wings.,"When one sees potential danger approaching, one should take precautions.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Adìẹ-odò òṣéébọ ìpọ̀n rí,Waterfowl is no good as a sacrifice to Ìpọ̀n rí.,One should use only tools proper to the task at hand.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àdógba ara ẹ̀ tẹ̀lẹ̀, ká tó fi oògùn sí?","Could the small gourd save itself, before we put charms into it?",Do not seek protection from a helpless person.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
A-fasẹ́-gbẹjọ́ ńtan ara-arẹ̀ jẹ,He-who-would-collect-rainwater-in-a-sieve deceives himself.,The shiftless person hurts himself more than others.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
A-fàtẹ́lẹwọ́-fanná kìí dúró,He-who-carries-live-coals-in-his-palm does not tarry.,A person who has a pressing problem has no time for socializing.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àfẹ̀ẹ̀rí kan ò ju ká rí igbó ńlá bọ́ sílọ; ẹbọ kan ò ju ọ̀pọ̀ èèyàn lọ; ‘‘Òrìṣá gbémilẹ́ àtẹ̀tẹ̀’’ kan ò ju orí ẹṣin lọ,There is no disappearing trick better than the availability of a dense forest to disappear into; there is no sacrifice more efficacious than having many people on one’s side; there is no ‘‘The gods have elevated me’’ that is higher than the back of a horse.,Practical and realistic moves are more reliable than mysterious expectations.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Afẹ̀fẹ̀ ńda ológììláàmú; oníyẹ̀fun rọra,"The wind is making life difficult for the seller of liquid cornstarch; corn-flour seller, you had better watch out!","When even those better situated are defeated, one must be prepared for tough times.",perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
A-fi-tẹ̀-sílẹ̀-gbọ́-tẹni-ẹlẹ́ni: ọ̀gánjọ́ ni wọ́n ńsìnkú-urẹ̀,He-who-neglects-his-own-affairs-to-care-for-others’-affairs: it is in the middle of the night that his burial is carried out.,Do not sacrifice your self-interest to take care of others.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
"Àfòmọ́ ńṣe ara-arẹ̀, ó ní òún ńṣe igi","The creeper is destroying itself, but it thinks it is destroying its host.",The host’s death will also be the parasite’s death.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àgádágodo ò fi inú hàn ara-awọn,Padlocks do not share their secrets with one another.,Some secrets one should not divulge to others.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
Àgùntàn ò jí ní kùtùkùtù ṣe ẹnu bọbọ,A sheep does not wake in the morning and droop its mouth.,One should not dawdle in the morning.,perspicaciousness reasonableness sagacity savoir-faire wisdon worldy-wisdom,Good person
